	# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario1.png	255	255	255
2	textures\mario-hold-shell-big.png	0	255	255
10	textures\mario_01.png	255	255	255
20	textures\misc.png	166	185	255
50	textures\enemies.png	3	26	110
30	textures\enemies-2.png	0	128	128
40	textures\special.png	255	255	255
60	textures\enemiesvip.png	255	255	255
61	textures\fireball_right.png	0	255	255
70	textures\effects.png	255	255	255
999	textures\special2.png	255	255	255
80	textures\special3.png	255	255	255
21	textures\misc-2.png	0	117	255
33	textures\effect.png	176	224	248
52	textures\enemies-5.png	0	255	255
54	textures\enemies-5_2.png	0	255	255
57	textures\enemies-5_3.png	0	255	255
55	textures\statusbar.png	255	0	255	1
56	textures\HUD.png	81	255	191	1
1	textures\black-background.png	255	255	255
90	textures\other.png	69	145	190
21	textures\misc-2.png	0	117	255
91	textures\mario-hold-shell-big.png	0	255	255
92	textures\box_frame.png	0	224	142	1
93	textures\title.png	255	255	255
# id	left	top	right	bottom	texture_id
[SPRITES]



9000	30	307	37	315	93

# so 3 nhap nhay
9050	194	363	236	404	93
9051	240	363	282	404	93
9052	287	363	329	404	93
9053	333	363	375	404	93

# CAI MAN CHAO SAN
9060	0	0	256	187	93

# ADVERTISEMENT
9061	516	0	772	187	93


#================================BOMERANG BROTHER
# RIGHT
#===WAlKING OR ATTACKING
8020	251	171	267	195	57
8021	275	171	291	195	57
# LEFT
#===WALKING OR ATTACKING
8022	57	171	73	195	52
8023	33	171	49	195	52
# PREPARING ATTACK RIGHT
8024	228	171	244	195	57
8025	205	171	221	195	57
# PREPARING ATTACK LEFT
8026	80	171	96	195	52
8027	103	171	119	195	52

#.........WEAPON 
8028	124	166	139	182	52
8029	124	188	139	204	52
8030	145	186	161	201	52
8031	144	166	160	182	52

# BOX ITEM
8001	0	0	24	28	92
# TRIPLE BOX ITEM
8002	163	3	235	31	55

#**********************************************PIPE
# short pipe
23000	201	415	233	447	21
# medium pipe
23010	5	28	37	76	21
# long pipe
23020	472	157	504	365	21
# hidden pipe
23030	433	223	465	255	21
# short pipe pair with long one
23040	433	157	465	205	21

#HUDDDDDDDDDDDDDDDD
# FRAME BOARD
700	3	3	155	31	55

#NUMBER SPRITES
701	33	32	41	39	55
702	44	32	52	39	55
745	53	32	61	39	55
703	63	32	71	39	55
704	73	32	81	39	55
705	83	32	91	39	55
706	93	32	101	39	55
707	103	32	111	39	55
708	113	32	121	39	55
709	123	32	131	39	55

# LETTER Sprites (ALPHABET)
710	133	32	141	39	55
711	143	32	151	39	55
712	33	42	41	50	55
713	43	42	51	50	55
714	53	42	61	50	55
715	63	42	71	50	55
716	73	42	81	50	55
717	83	42	91	50	55
718	94	42	98	50	55
719	103	42	111	50	55
720	113	42	121	50	55
721	123	42	131	50	55
722	133	42	141	50	55
723	143	42	151	50	55
724	33	52	41	60	55
725	43	52	51	60	55
726	53	52	61	60	55
727	63	52	71	60	55
728	73	52	81	60	55
729	83	52	91	60	55
730	93	52	101	60	55
731	103	52	111	60	55
732	113	52	121	60	55
733	123	52	131	60	55
734	133	52	141	60	55
735	143	52	151	60	55

# SPEED CARRET RIGHT
740	3	33	11	40	55
# MAXX SPEED P
741 	12	33	27	40	55
742	100	162	115	169	56
# M
743	8	43	24	50	55
# L
744	8	51	24	58	55

#EFFECT BULLET
70	80	20	96	36	33
71	97	20	111	34	33
72	126	22	140	33	33

#==========EFFECT PIECE BRICK============
73	27	120	35	128	33
74	47	120	55	128	33


#==============MONEY EFFECT===============
100	11	223	22	231	33
200	10	232	22	240	33
400	10	241	22	249	33
800	10	250	22	258	33
1000	24	223	39	231	33
2000	23	232	39	240	33
4000	23	241	39	249	33
8000	23	250	39	258	33


# Item
10	334	100	348	116	20
11	156	121	171	137	20
#===============SUPER LEAF================
# left
12	180	123	196	137	20
# right
13	160	362	176	376	20

#================P-SWITCH=================
18	178	144	194	160	20
19	156	144	172	160	20
# pressed already
20	200	144	216	160	20

# COIN ANIMATION
14	294	101	302	115	20
15	389	101	395	115	20
16	318	101	325	115	20
17	309	101	312	115	20

#==================COIN===================
22	228	7	242	23	21
23	245	7	257	23	21
24	258	7	268	23	21
25	271	7	283	23	21

# ITEMS END GAME
#=========NAM==========
26	156	121	172	137	20
#FIRE FLOWER
27	309	121	325	137	20
#Star
28	201	121	217	137	20

# GREEN MUSHROOM
29	286	121	302	137	20


# MOVING WOOD
99	352	167	400	183	20

#MARIO IN WORLD MAP
#SMALL
1	30	9	44	25	0
2	30	49	44	65	0
#BIG
3	55	6	71	27	0
4	55	46	71	67	0
#BIG_TAIL
5	95	5	111	29	0
6	95	45	111	69	0
#BIG_RIRE
7	175	1	191	22	0
8	175	51	191	72	0


# BIG MARIO FIRE
# idle right
12001	205	680	230	710	0
# walk right
12002	245	680	271	710	0
12003	285	681	311	711	0
# idle left
12005	167	680	190	710	0
# walk left
12006	126	680	151	710	0
12007	86	681	111	711	0
# sitting left
12011	7	676	30	706	0
# sitting right
12012	365	676	390	706	0
# stop right
12016	165	721	191	751	0
# stop left
12017	205	721	231	751	0
# fly right
12021	325	681	351	711	0
# fly left
12022	46	681	71	711	0
# attack right
12041	355	800	380	830	0
#120411	79	1520	104	1550	0
# attack left
12043	88	35	111	65	90
# running right
120002	206	760	232	790	0
120003	246	760	272	790	0
120004	286	761	312	791	0
# running left
120006	164	760	193	790	0
120007	124	760	153	790	0
120008	84	761	113	791	0
# flying when running right
120211	326	801	352	830	0
# flying when running left
120221	45	804	73	830	0
# flying attack right
120310	245	800	272	830	0
# flying attack left
120320	125	800	153	830	0
# KICK KOOPAS RIGHT
12008	129	721	154	751	0
# KICK KOOPAS LEFT
12009	243	721	273	751	0
# IDLE HOLD KOOPAS RIGHT
12052	319	760	345	790	0
