	# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario1.png	255	255	255
2	textures\mario-hold-shell-big.png	0	255	255
10	textures\mario_01.png	255	255	255
20	textures\misc.png	166	185	255
50	textures\enemies.png	3	26	110
30	textures\enemies-2.png	0	128	128
40	textures\special.png	255	255	255
60	textures\enemiesvip.png	255	255	255
70	textures\effects.png	255	255	255
999	textures\special2.png	255	255	255
80	textures\special3.png	255	255	255
21	textures\misc-2.png	0	117	255
33	textures\effect.png	176	224	248
52	textures\enemies-5.png	0	255	255
54	textures\enemies-5_2.png	0	255	255
55	textures\statusbar.png	255	0	255	1
56	textures\HUD.png	81	255	191	1

# id	left	top	right	bottom	texture_id
[SPRITES]
#HUDDDDDDDDDDDDDDDD
# FRAME BOARD
700	3	3	155	31	55

#NUMBER SPRITES
701	33	32	41	39	55
702	44	32	52	39	55
745	53	32	61	39	55
703	63	32	71	39	55
704	73	32	81	39	55
705	83	32	91	39	55
706	93	32	101	39	55
707	103	32	111	39	55
708	113	32	121	39	55
709	123	32	131	39	55

# LETTER Sprites (ALPHABET)
710	133	32	141	39	55
711	143	32	151	39	55
712	33	42	41	50	55
713	43	42	51	50	55
714	53	42	61	50	55
715	63	42	71	50	55
716	73	42	81	50	55
717	83	42	91	50	55
718	94	42	98	50	55
719	103	42	111	50	55
720	113	42	121	50	55
721	123	42	131	50	55
722	133	42	141	50	55
723	143	42	151	50	55
724	33	52	41	60	55
725	43	52	51	60	55
726	53	52	61	60	55
727	63	52	71	60	55
728	73	52	81	60	55
729	83	52	91	60	55
730	93	52	101	60	55
731	103	52	111	60	55
732	113	52	121	60	55
733	123	52	131	60	55
734	133	52	141	60	55
735	143	52	151	60	55

# SPEED CARRET RIGHT
740	3	33	11	40	55
# MAXX SPEED P
741 	12	33	27	40	55
742	100	162	115	169	56
# M
743	8	43	24	50	55
# L
744	8	51	24	58	55

#EFFECT BULLET
70	80	20	96	36	33
71	97	20	111	34	33
72	126	22	140	33	33

#==========EFFECT PIECE BRICK============
73	27	120	35	128	33
74	47	120	55	128	33


#==============MONEY EFFECT===============
100	11	223	22	231	33
200	10	232	22	240	33
400	10	241	22	249	33
800	10	250	22	258	33
1000	24	223	39	231	33
2000	23	232	39	240	33
4000	23	241	39	249	33
8000	23	250	39	258	33


# Item
10	334	100	348	116	20
11	156	121	171	137	20
#===============SUPER LEAF================
# left
12	180	123	196	137	20
# right
13	160	362	176	376	20

#================P-SWITCH=================
18	178	144	194	160	20
19	156	144	172	160	20
# pressed already
20	200	144	216	160	20

# COIN ANIMATION
14	294	101	302	115	20
15	389	101	395	115	20
16	318	101	325	115	20
17	309	101	312	115	20

#==================COIN===================
22	228	7	242	23	21
23	245	7	257	23	21
24	258	7	268	23	21
25	271	7	283	23	21

# BIG MARIO FIRE
# idle right
12001	211	683	230	710	0
# walk right
12002	251	683	271	710	0
12003	291	684	311	710	0
# idle left
12005	171	683	190	710	0
# walk left
12006	131	683	151	710	0
12007	91	684	111	710	0
# sitting left
12011	11	680	30	716	0
# sitting right
12012	371	680	390	716	0
# stop right
12016	171	723	191	751	0
# stop left
12017	211	723	231	751	0
# fly right
12021	331	684	351	710	0
# fly left
12022	51	684	71	710	0
# attack right
12041	361	803	380	830	0
# attack left
12043	21	803	40	830	0
# running right
120002	213	763	232	790	0
120003	253	763	272	790	0
120004	293	764	312	790	0
# running left
120006	170	763	193	790	0
120007	130	763	153	790	0
120008	90	764	113	790	0
# flying when running right
120211	333	804	352	830	0
# flying when running left
120221	54	804	73	830	0
# flying attack right
120310	253	803	272	830	0
# flying attack left
120320	134	803	153	830	0
# KICK KOOPAS RIGHT
12008	133	723	154	760	0
# KICK KOOPAS LEFT
12009	252	723	273	760	0
# IDLE HOLD KOOPAS RIGHT
12052	325	763	345	790	0
# HOLD AND WALKING KOOPAS RIGHT
12053	351	763	371	790	0
12054	376	764	396	790	0
# IDLE HOLD KOOPAS LEFT
12055	55	763	75	790	0
# HOLD AND WALKING KOOPAS LEFT
12056	29	763	50	790	0
12057	4	764	26	790	0
# =========-----End BIG MARIO FIRE -------========


# BIG MARIO HAVE TAIL
# idle right
11001	208	443	233	471	0
# walk right
11002	260	443	284	471	0
11003	289	443	314	470	0
# idle left
11005	8	3	36	31	80
# walk left
11006	115	443	144	471	0
11007	85	443	115	470	0
# sitting left
11011	5	438	34	466	0
# sitting right
11012	370	438	394	466	0
# stop right
11016	166	482	191	512	0
# stop left
11017	208	482	231	512	0
# fly right
11021	329	443	354	470	0
# fly left
11022	44	443	75	470	0
# falling right
11031	209	603	234	631	0
# falling left
11032	165	603	195	631	0
# attack right
11045	234	443	259	471	0
11046	346	483	371	511	0
11047	6	4	38	32	999
11048	381	483	406	511	0
# attack left
11043	8	4	38	32	999
11042	348	483	371	511	0
11041	236	443	259	471	0
11044	383	483	406	511	0
# running right
110002	209	523	235	551	0
110003	249	523	275	551	0
110004	289	523	315	550	0
# running left
110006	164	523	195	551	0
110007	124	523	155	551	0
110008	84	523	115	551	0
# flying when running right
110211	291	603	315	631	0
# flying when running left
110221	91	603	115	631	0
# falling down slownly right (mario tail down)
110310	249	603	274	633	0
# falling down slownly left   (mario tail down)
110320	125	603	155	630	0
# falling down slownly right (mario tail up)
110311	331	603	355	630	0
# falling down slownly left   (mario tail up)
110321	51	603	75	630	0
# flying running TAIL middle right
110312	371	603	395	630	0
# flying running TAIL middle left
110322	11	603	35	630	0
# Kick KOOPAS RIGHT
11008	247	483	269	511	0
# Kick KOOPAS LEFT
11009	137	483	159	511	0
# IDLE HOLD KOOPAS RIGHT
11052	320	523	343	560	0
# HOLD AND WALKING KOOPAS RIGHT
11053	350	523	373	560	0
11054	381	523	404	560	0
# IDLE HOLD KOOPAS LEFT
11055	63	523	84	560	0
