	# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario1.png	255	255	255
2	textures\mario-hold-shell-big.png	0	255	255
10	textures\mario_01.png	255	255	255
20	textures\misc.png	166	185	255
50	textures\enemies.png	3	26	110
30	textures\enemies-2.png	0	128	128
40	textures\special.png	255	255	255
60	textures\enemiesvip.png	255	255	255
61	textures\fireball_right.png	0	255	255
70	textures\effects.png	255	255	255
999	textures\special2.png	255	255	255
80	textures\special3.png	255	255	255
21	textures\misc-2.png	0	117	255
33	textures\effect.png	176	224	248
52	textures\enemies-5.png	0	255	255
54	textures\enemies-5_2.png	0	255	255
55	textures\statusbar.png	255	0	255	1
56	textures\HUD.png	81	255	191	1
1	textures\black-background.png	255	255	255
90	textures\other.png	69	145	190
21	textures\misc-2.png	0	117	255
91	textures\mario-hold-shell-big.png	0	255	255
92	textures\box_frame.png	0	224	142	1

58	textures\123.png	64	128	0

# id	left	top	right	bottom	texture_id
[SPRITES]


# BOX ITEM
8001	0	0	24	28	92
# TRIPLE BOX ITEM
8002	163	3	235	31	55

#MARIO IN WORLD MAP
#SMALL
1	30	9	44	25	0
2	30	49	44	65	0
#BIG
3	55	6	71	27	0
4	55	46	71	67	0
#BIG_TAIL
5	95	5	111	29	0
6	95	45	111	69	0
#BIG_RIRE
7	175	1	191	22	0
8	175	51	191	72	0
###########33============== ELEMENT IN WORLD SELECTION
#**********************************************SHAKE TREE
# TALL SHAKE TREE
2067	1	26	17	42	58
2068	18	26	34	42	58
2069	35	26	51	42	58
2070	52	26	68	42	58	

#HUDDDDDDDDDDDDDDDD
# FRAME BOARD
700	3	3	155	31	55

#NUMBER SPRITES
701	33	32	41	39	55
702	44	32	52	39	55
745	53	32	61	39	55
703	63	32	71	39	55
704	73	32	81	39	55
705	83	32	91	39	55
706	93	32	101	39	55
707	103	32	111	39	55
708	113	32	121	39	55
709	123	32	131	39	55

# LETTER Sprites (ALPHABET)
710	133	32	141	39	55
711	143	32	151	39	55
712	33	42	41	50	55
713	43	42	51	50	55
714	53	42	61	50	55
715	63	42	71	50	55
716	73	42	81	50	55
717	83	42	91	50	55
718	94	42	98	50	55
719	103	42	111	50	55
720	113	42	121	50	55
721	123	42	131	50	55
722	133	42	141	50	55
723	143	42	151	50	55
724	33	52	41	60	55
725	43	52	51	60	55
726	53	52	61	60	55
727	63	52	71	60	55
728	73	52	81	60	55
729	83	52	91	60	55
730	93	52	101	60	55
731	103	52	111	60	55
732	113	52	121	60	55
733	123	52	131	60	55
734	133	52	141	60	55
735	143	52	151	60	55

# SPEED CARRET RIGHT
740	3	33	11	40	55
# MAXX SPEED P
741 	12	33	27	40	55
742	100	162	115	169	56
# M
743	8	43	24	50	55
# L
744	8	51	24	58	55


# BIG MARIO FIRE
# idle right
12001	205	680	230	710	0
# walk right
12002	245	680	271	710	0
12003	285	681	311	711	0
# idle left
12005	167	680	190	710	0
# walk left
12006	126	680	151	710	0
12007	86	681	111	711	0
# sitting left
12011	7	676	30	706	0
# sitting right
12012	365	676	390	706	0
# stop right
12016	165	721	191	751	0
# stop left
12017	205	721	231	751	0
# fly right
12021	325	681	351	711	0
# fly left
12022	46	681	71	711	0
# attack right
12041	355	800	380	830	0
#120411	79	1520	104	1550	0
# attack left
12043	88	35	111	65	90
# running right
120002	206	760	232	790	0
120003	246	760	272	790	0
120004	286	761	312	791	0
# running left
120006	164	760	193	790	0
120007	124	760	153	790	0
120008	84	761	113	791	0
# flying when running right
120211	326	801	352	830	0
# flying when running left
120221	45	804	73	830	0
# flying attack right
120310	245	800	272	830	0
# flying attack left
120320	125	800	153	830	0
# KICK KOOPAS RIGHT
12008	129	721	154	751	0
# KICK KOOPAS LEFT
12009	243	721	273	751	0
# IDLE HOLD KOOPAS RIGHT
12052	319	760	345	790	0
# HOLD AND WALKING KOOPAS RIGHT
12053	345	760	371	790	0
12054	50	36	76	65	90
# IDLE HOLD KOOPAS LEFT
12055	55	760	75	790	0
# HOLD AND WALKING KOOPAS LEFT
12056	29	762	50	789	0
12057	4	763	26	789	0
# MARIO GET INTO HIDDEN MAP
12058	6	723	41	750	0
# =========-----End BIG MARIO FIRE -------========


# BIG MARIO HAVE TAIL
# idle right
11001	208	441	233	471	0
# walk right
11002	259	441	284	471	0
11003	289	441	314	471	0
# idle left
11005	6	1	36	31	80
# walk left
11006	12	77	43	107	90
11007	84	441	116	471	0
# sitting left
11011	3	436	34	466	0
# sitting right
11012	369	436	394	466	0
# stop right
11016	168	482	191	512	0
# stop left
11017	208	482	231	512	0
# fly right
11021	329	440	354	470	0
# fly left
11022	44	440	75	470	0
# falling right
11031	209	601	234	631	0
# falling left
11032	164	601	195	631	0
# attack right
11045	234	441	259	471	0
11046	346	481	371	511	0
11047	6	2	38	32	999
11048	381	481	406	511	0
# attack left
11043	6	2	38	32	999
11042	346	481	371	511	0
11041	234	441	259	471	0
11044	381	481	406	511	0
# running right
110002	209	521	235	551	0
110003	249	521	275	551	0
110004	289	521	315	551	0
# running left
110006	162	521	195	551	0
110007	122	521	155	551	0
110008	51	79	84	108	90
# flying when running right
110211	291	601	315	631	0
# flying when running left
110221	84	603	115	631	0
# falling down slownly right (mario tail down)
110310	249	601	274	631	0
# falling down slownly left   (mario tail down)
110320	124	601	154	631	0
# falling down slownly right (mario tail up)
110311	331	601	355	631	0
# falling down slownly left   (mario tail up)
110321	44	601	75	631	0
# flying running TAIL middle right
110312	371	601	395	631	0
# flying running TAIL middle left
110322	4	601	35	631	0
# Kick KOOPAS RIGHT
11008	239	481	269	511	0
# Kick KOOPAS LEFT
11009	133	481	159	511	0
# IDLE HOLD KOOPAS RIGHT
11052	320	521	343	551	0
# HOLD AND WALKING KOOPAS RIGHT
11053	350	521	373	551	0
11054	381	521	404	551	0
