	# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	textures\mario1.png	255	255	255
10	textures\mario_01.png	255	255	255
20	textures\misc.png	166	185	255
50	textures\enemies.png	3	26	110
30	textures\enemies-2.png	0	128	128
40	textures\special.png	255	255	255
60	textures\enemiesvip.png	255	255	255
70	textures\effects.png	255	255	255
999	textures\special2.png	255	255	255
80	textures\special3.png	255	255	255
21	textures\misc-2.png	0	117	255
33	textures\effect.png	176	224	248

# id	left	top	right	bottom	texture_id
[SPRITES]

#EFFECT BULLET
70	80	20	96	36	33
71	97	20	111	34	33
72	126	22	140	33	33

#==============MONEY EFFECT===============
100	11	223	22	231	33
200	10	232	22	240	33
400	10	241	22	249	33
800	10	250	22	258	33
1000	24	223	39	231	33
2000	23	232	39	240	33
4000	23	241	39	249	33
8000	23	250	39	258	33


# Item
10	334	100	348	116	20
11	156	121	171	137	20
12	180	123	196	137	20


# COIN ANIMATION
14	228	7	242	23	21
15	228	7	242	23	21
16	258	7	268	23	21
17	271	7	283	23	21

# BIG MARIO FIRE
# idle right
12001	211	683	230	710	0
# walk right
12002	251	683	271	710	0
12003	291	684	311	710	0
# idle left
12005	171	683	190	710	0
# walk left
12006	131	683	151	710	0
12007	91	684	111	710	0
# sitting left
12011	11	680	30	716	0
# sitting right
12012	371	680	390	716	0
# stop right
12016	171	723	191	751	0
# stop left
12017	211	723	231	751	0
# fly right
12021	331	684	351	710	0
# fly left
12022	51	684	71	710	0
# attack right
12041	361	803	380	830	0
# attack left
12043	21	803	40	830	0
# running right
120002	213	763	232	790	0
120003	253	763	272	790	0
120004	293	764	312	790	0
# running left
120006	170	763	193	790	0
120007	130	763	153	790	0
120008	90	764	113	790	0
# flying when running right
120211	333	804	352	830	0
# flying when running left
120221	54	804	73	830	0
# flying attack right
120310	253	803	272	830	0
# flying attack left
120320	134	803	153	830	0
# KICK KOOPAS RIGHT
12008	133	723	154	760	0
# KICK KOOPAS LEFT
12009	252	723	273	760	0
# IDLE HOLD KOOPAS RIGHT 
12052	325	763	345	790	0
# HOLD AND WALKING KOOPAS RIGHT 
12053	351	763	371	790	0
12054	375	764	396	790	0
# IDLE HOLD KOOPAS LEFT 
12055	56	763	75	790	0
# HOLD AND WALKING KOOPAS LEFT
12056	31	763	50	790	0
12057	5	764	25	790	0
# =========-----End BIG MARIO FIRE -------========


# BIG MARIO HAVE TAIL
# idle right
11001	208	443	233	471	0
# walk right
11002	260	443	284	471	0
11003	289	443	314	470	0	
# idle left
11005	8	3	36	31	80
# walk left
11006	115	443	144	471	0
11007	85	443	115	470	0
# sitting left
11011	5	438	34	466	0
# sitting right
11012	370	438	394	466	0
# stop right
11016	166	482	191	512	0
# stop left
11017	208	482	231	512	0
# fly right
11021	329	443	354	470	0
# fly left
11022	44	443	75	470	0
# falling right
11031	209	603	234	631	0
# falling left
11032	165	603	195	631	0
# attack right
11045	234	443	259	471	0
11046	346	483	371	511	0
11047	6	4	38	32	999
11048	381	483	406	511	0
# attack left
11043	8	4	38	32	999
11042	348	483	371	511	0
11041	236	443	259	471	0
11044	383	483	406	511	0
# running right
110002	209	523	235	551	0
110003	249	523	275	551	0
110004	289	523	315	550	0
# running left
110006	164	523	195	551	0
110007	124	523	155	551	0
110008	84	523	115	551	0
# flying when running right
110211	291	603	315	631	0	
# flying when running left
110221	91	603	115	631	0
# falling down slownly right (mario tail down) 
110310	249	603	274	633	0
# falling down slownly left   (mario tail down)
110320	125	603	155	630	0
# falling down slownly right (mario tail up)
110311	331	603	355	630	0
# falling down slownly left   (mario tail up)
110321	51	603	75	630	0
# flying running TAIL middle right 
110312	371	603	395	630	0
# flying running TAIL middle left
110322	11	603	35	630	0
# Kick KOOPAS RIGHT
11008	247	483	269	511	0
# Kick KOOPAS LEFT
11009	137	483	159	511	0
# IDLE HOLD KOOPAS RIGHT 
11052	320	523	343	560	0
# HOLD AND WALKING KOOPAS RIGHT 
11053	350	523	373	560	0
11054	381	523	404	560	0
# IDLE HOLD KOOPAS LEFT 
11055	63	523	84	560	0
# HOLD AND WALKING KOOPAS LEFT
11056	33	523	55	560	0
11057	2	523	25	560	0
# =========-----End BIG MARIO HAVE TAIL-------========


# BIG MARIO 
# idle right
10001	211	243	230	270	0
# walk
10002	251	243	271	270	0		
10003	291	244	311	270	0
# idle left
10011	171	243	190	270	0
#walk
10012	131	243	151	270	0
10013	91	244	111	270	0
# sitting left
10050	11	240	30	266	0
# sitting right
10051	371	240	390	266	0
# stop right
10060	171	283	191	311	0
# stop left
10061	211	283	231	311	0
# fly right
10070	331	244	351	270	0
# fly left
10071	51	244	71	270	0
# running right
100001	213	323	232	350	0
100002	253	323	272	350	0
100003	293	324	312	350	0
# running left
100012	170	323	193	350	0
100013	130	323	153	350	0
100014	90	324	113	350	0
# flying when running right
100701	333	364	352	390	0
# flying when running left
100711	54	364	73	390	0
# KICK KOOPAS RIGHT
10008	252	283	273	311	0
# KICK KOOPAS LEFT
10009	133	283	154	311	0
# IDLE HOLD KOOPAS RIGHT 
10052	325	323	345	360	0
# HOLD AND WALKING KOOPAS RIGHT 
10053	351	323	371	360	0
10054	376	323	396	360	0
# IDLE HOLD KOOPAS LEFT 
10055	56	323	75	360	0
# HOLD AND WALKING KOOPAS LEFT
10056	31	323	50	360	0
10057	5	323	25	360	0
# =========-----End BIG MARIO-------========


# die 
10099	375	209	391	224	0
# SMALL MARIO
# idle small right
10021	217	89	229	104	0
# walk
10022	256	89	271	104	0
10023	255	169	271	185	0
# idle small left
10031	177	89	189	104	0
# walk
10032	135	89	150	104	0
10033	135	169	150	185	0
# stop right
10080	176	129	190	145	0
# stop left
10081	216	129	230	145	0
# fly right
10085	335	89	351	104	0
# fly left
10086	55	89	71	104	0
# running right
10040	215	169	231	184	0
10041	255	169	271	184	0
# running left
10042	175	169	191	184	0
10043	135	169	151	184	0
# flying when running right
100850	215	209	231	225	0
# flying when running left
100860	175	209	191	225	0
# =================-------end small mario-------=================

#QUESTION BRICK
20011	157	188	173	204	20
20012	176	188	192	204	20
20013	196	188	212	204	20
20014	215	188	231	204	20
# QUESTION BRICK UNAVAILABLE
20010	235	188	251	204	20
#BRICK
20001	254	188	270	204	20
20002	274	188	290	204	20
20003	309	144	325	160	20
#GOOMBA
#Walking
30001	65	4	81	20	60
30002	15	4	31	20	60
#die
30003	315	0	331	16	60
#GOOMBA HAVE WING RED
# Walking RED WITH WING
30004	213	47	233	71	60
30005	263	47	283	71	60
# Flying RED
30006	113	50	133	74	60
30007	263	47	283	71	60
# RED DIE
30008	313	50	331	66	60
# WALKING RED
30009	13	47	31	70	60
30010	63	47	81	70	60

# Pipe Flower
# bong hoa nguoc CLOSE MOUTH len troi LEFT
80000	165	545	181	578	60
# bong hoa nguoc open mouth len troi LEFT
80001	65	545	81	578	60
# bong hoa nguoc close mouth xuong LEFT
80002	115	545	131	578	60
# bong hoa nguoc open mouth xuong LEFT
80003	15	545	31	578	60

# bong hoa nguoc close mouth len troi RIGHT
80004	215	545	231	578	60
# bong hoa nguoc open mouth len troi RIGHT
80005	315	545	331	578	60
# bong hoa nguoc close mouth xuong RIGHT
80006	265	545	281	578	60
# bong hoa nguoc open mouth xuong RIGHT
80007	365	545	381	578	60

# FIRE BULLET
50	174	658	182	666	60
51	154	658	162	666	60
52	134	658	142	666	60
53	114	657	122	666	60

#KOOPAS 
#========== GREEN SHELL
#walk left
50001	165	99	181	125	60
50002	125	98	141	125	60
#walk right
50011	215	99	231	125	60
50012	255	98	271	125	60
# KOOPAS shell
50030	50	94	66	131	60
# turtle shell MOVE
50032	15	96	31	120	60
50033	15	121	31	145	60
50034	15	146	31	170	60
# KOOPAS lac mai co cai chan
50035	82	93	102	119	60
50036	50	94	68	131	60
# KOOPAS lac cai mai
50037	48	94	66	131	60
50038	50	94	68	131	60

# KOOPAS overturned SHELL
50050	330	94	346	131	60
# KOOPAS overturned SHELL MOVING
50051	365	96	381	120	60
50052	365	121	381	145	60
50053	365	146	381	170	60
# KOOPAS overturned SHELL HEALTH
50055	294	93	312	131	60

#KOOPAS FLYING HAVE WING
# WALKING RIGHT
50003	295	149	311	175	60
50004	335	148	351	175	60
# WALKING LEFT
50013	85	149	101	175	60
50014	45	148	61	175	60
# FLYING RIGHT
50040	335	148	351	175	60
50041	215	148	231	175	60
# FLYING LEFT
50042	165	148	181	175	60
50043	45	148	61	175	60


#=========== RED SHELL
# WALKING RIGHT
50060	215	199	231	225	60
50061	255	198	271	225	60
# WALKING LEFT
50062	165	199	181	225	60
50063	125	198	141	225	60
# KOOPAS SHELL
50064	50	194	66	220	60
# SHELL MOVING
50065	15	197	31	229	60
50066	15	222	31	245	60
50067	15	247	31	270	60
# KOOPAS lac mai co cai chan
50068	48	194	66	220	60
50069	84	194	106	220	60
# KOOPAS lac cai mai
50070	48	194	66	220	60
50071	50	194	68	220	60
# KOOPAS overturned SHELL
50072	330	194	346	210	60


# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

# ==== Item =========
50	10	100
51	11	100
52	12	100
53	14	100	15	100	16	100	17	100
# ==== MARIO =========
#idle BIG right
400	10001	100
#idle BIG left
401	10011	100
#idle small right
402	10021	100
#idle small left
403	10031	100
#idle big have tail right
404	11001	100
#idle big have tail left
405	11005	100


#walk right big
500	10001	100	10002	100	10003	100
#walk left big
501	10011	100	10012	100	10013	100
#walk right small
502	10021	100	10022	100	10023	100
#walk left small
503	10031	100	10032	100	10033	100
